num_layers,num_nodes,learning_rate,epochs,optimizer,num_splits,test_loss,r2
3,512,0.01,50,SGD,10,0.0090914312750101,0.987755725160122
3,512,0.01,50,RMSprop,5,0.0958638861775398,0.8375516329946261
3,512,0.01,50,RMSprop,10,0.1031078770756721,0.839115202366895
3,512,0.01,50,ADAM,5,0.0252256523817777,0.9584510513038924
3,512,0.01,50,ADAM,10,0.0280328355729579,0.9570332378024226
3,512,0.01,100,SGD,5,0.0086158756166696,0.9884089252712464
3,512,0.01,100,SGD,10,0.0083560412749648,0.988406738574385
3,512,0.01,100,RMSprop,5,0.1043837815523147,0.829778872364618
3,512,0.01,100,RMSprop,10,0.0708163082599639,0.8883634776292618
3,512,0.01,100,ADAM,5,0.0214488450437784,0.9634168815470968
3,512,0.01,100,ADAM,10,0.0314000286161899,0.9483118763809424
3,512,0.01,500,SGD,5,0.008472760207951,0.9884057855701318
3,512,0.01,500,SGD,10,0.0075987670570611,0.989451576243621
3,512,0.01,500,RMSprop,5,0.1241800487041473,0.780250983935205
3,512,0.01,500,RMSprop,10,0.1029082238674163,0.8216700252923573
3,512,0.01,500,ADAM,5,0.0281269662082195,0.95296684884466
3,512,0.01,500,ADAM,10,0.0326357558369636,0.9454284715235204
3,512,0.001,50,SGD,5,0.2150665819644928,0.5844414024087298
3,512,0.001,50,SGD,10,0.0320480428636074,0.939195354845907
3,512,0.001,50,RMSprop,5,0.034984890371561,0.940597488952359
3,512,0.001,50,RMSprop,10,0.0279437042772769,0.9512748753416364
3,512,0.001,50,ADAM,5,0.0051048924215137,0.9921553989032074
3,512,0.001,50,ADAM,10,0.0075071984902024,0.9891134908245928
3,512,0.001,100,SGD,5,0.0511367730796337,0.898866589409064
3,512,0.001,100,SGD,10,0.009338921867311,0.9875581478256368
3,512,0.001,100,RMSprop,5,0.0288163535296916,0.954409960053914
3,512,0.001,100,RMSprop,10,0.0183065384626388,0.967138696278055
3,512,0.001,100,ADAM,5,0.0060617816634476,0.9911347588443352
3,512,0.001,100,ADAM,10,0.0080590527504682,0.9882606954631478
3,512,0.001,500,SGD,5,0.0093432758003473,0.9874258221627428
3,512,0.001,500,SGD,10,0.0091890078037977,0.9875773354720222
3,512,0.001,500,RMSprop,5,0.0219723191112279,0.9652423219444346
3,512,0.001,500,RMSprop,10,0.0521985702216625,0.9301170557904114
3,512,0.001,500,ADAM,5,0.0081571443006396,0.987481724401528
